,source,target
0,13,16
1,13,10
2,21,1
3,21,10
4,21,8
5,10,1
6,10,21
7,10,25
8,13,1
9,1,17
10,17,1
11,61,20
12,71,1
13,119,1
14,119,127
15,1,2
16,127,119
17,2,3
18,1,7
19,2,1
20,39,2
21,33,1
22,237,202
23,2,62
24,80,81
25,60,257
26,149,25
27,279,60
28,283,284
29,284,283
30,21,93
31,93,21
32,313,45
33,57,7
34,4,202
35,330,7
36,342,395
37,410,201
38,198,2
39,219,1
40,397,278
41,51,451
42,451,51
43,486,1
44,21,490
45,64,104
46,132,7
47,111,499
48,499,111
49,490,21
50,520,484
51,144,202
52,202,144
53,300,529
54,529,300
55,571,570
56,570,571
57,581,159
58,588,587
59,602,159
60,200,623
61,484,304
62,628,605
63,623,200
64,113,7
65,395,342
66,636,635
67,650,651
68,651,650
69,691,523
70,678,717
71,184,720
72,721,64
73,720,184
74,717,678
75,167,2
76,167,245
77,167,223
78,167,39
79,39,167
80,39,223
81,39,245
82,39,1
83,747,732
84,64,770
85,770,64
86,778,732
87,780,814
88,814,780
89,353,1
90,9,1
91,61,109
92,753,840
93,769,847
94,847,769
95,824,623
96,911,908
97,911,548
98,911,832
99,923,920
100,922,894
101,832,920
102,198,534
103,977,610
104,977,923
105,249,241
106,418,489
107,489,418
108,1012,554
109,687,908
110,908,1013
111,832,25
112,1013,908
113,4,13
114,1024,832
115,1023,923
116,1027,832
117,832,241
118,13,4
119,950,678
120,540,475
121,353,1046
122,920,832
123,922,606
124,19,7
125,19,1
126,1014,777
127,1026,908
128,533,1068
129,533,530
130,1074,733
131,760,1076
132,606,908
133,777,1014
134,1092,908
135,64,1094
136,1094,64
137,1092,492
138,492,908
139,576,104
140,1109,923
141,1065,1119
142,922,953
143,922,1122
144,1122,922
145,1125,882
146,1133,710
147,710,1133
148,1013,1092
149,1092,1013
150,1095,1092
151,1095,908
152,1139,1140
153,1,197
154,1,60
155,1,41
156,1,39
157,1,6
158,353,134
159,484,593
160,270,1174
161,198,959
162,959,198
163,882,7
164,500,1191
165,768,1196
166,1196,768
167,1191,500
168,1232,923
169,1084,1100
170,1100,1084
171,908,1257
172,1257,908
173,1260,1037
174,1260,1261
175,1260,1166
176,1257,4
177,1174,270
178,1285,923
179,1217,775
180,1291,1277
181,1277,1291
182,540,626
183,626,540
184,1261,1260
185,997,1217
186,1217,997
187,468,566
188,1098,7
189,1119,1065
190,911,1326
191,1326,911
192,1268,1094
193,113,1340
194,1094,1268
195,283,7
196,1358,518
197,518,1358
198,708,1363
199,41,7
200,1267,1328
201,1328,1267
202,1363,708
203,1381,1368
204,1267,921
205,786,25
206,1352,1
207,1384,1201
208,1385,882
209,1267,546
210,1207,882
211,882,1207
212,1396,60
213,1384,635
214,1185,801
215,935,7
216,88,101
217,801,1185
218,465,882
219,540,1
220,35,1437
221,1396,1201
222,1201,1396
223,88,1501
224,775,1437
225,660,1545
226,1556,465
227,775,1354
228,775,1217
229,1572,1600
230,1354,775
231,41,1386
232,10,41
233,1629,25
234,1631,1290
235,178,1
236,41,1
237,899,1643
238,1541,25
239,1648,1566
240,1568,1663
241,1630,545
242,775,1669
243,1217,1669
244,1217,1437
245,1657,1566
246,1437,1669
247,1689,1
248,1690,1
249,1690,25
250,1662,1701
251,540,7
252,1700,1708
253,1708,1700
254,39,415
255,415,39
256,540,1386
257,1759,1591
258,1763,1744
259,1771,25
260,1779,1787
261,1787,1779
262,1585,25
263,465,1556
264,425,1
265,1386,1
266,1201,1386
267,104,23
268,1839,1840
269,1656,1185
270,1185,1656
271,1201,25
272,1487,25
273,415,1492
274,1492,415
275,1318,1877
276,1566,1201
277,1566,1386
278,425,1566
279,1201,1566
280,1860,1
281,882,178
282,1386,1566
283,1201,1
284,1,1201
285,1566,1769
286,1201,1363
287,1201,537
288,1386,135
289,1701,1860
290,1860,1701
291,1771,1860
292,1984,1
293,1995,1840
294,1685,1839
295,1896,1771
296,1771,1896
297,1620,1386
298,1656,1
299,2026,1957
300,1528,25
301,2040,1690
302,2014,1855
303,340,1690
304,823,1
305,823,2078
306,1615,2080
307,2080,1615
308,2080,2082
309,2080,25
310,2082,2080
311,425,1201
312,425,309
313,2087,35
314,1383,425
315,1383,1201
316,1383,1386
317,1383,1
318,1383,1316
319,1383,7
320,1478,2040
321,1899,1473
322,1473,1899
323,1204,2028
324,1846,1386
325,1386,1846
326,2028,2214
327,215,1566
328,304,25
329,2240,2080
330,1204,2125
331,1620,722
332,1529,905
333,2200,1620
334,1620,2200
335,905,1386
336,425,1386
337,1566,215
338,425,1317
339,1386,425
340,1878,25
341,988,2305
342,2305,988
343,2303,25
344,988,2313
345,1896,2076
346,2076,1896
347,1829,25
348,2241,1121
349,1121,2241
350,1204,1899
351,1899,1204
352,1,4
353,4,1
354,1585,1
355,2125,2349
356,2311,1201
357,1316,1366
358,1316,425
359,425,1316
360,1366,1
361,2230,2118
362,732,2176
363,2067,1731
364,1731,2067
365,2305,2377
366,2377,2305
367,2377,2313
368,2311,2167
369,2174,25
370,1201,1316
371,1316,1201
372,1948,1615
373,2118,2230
374,2427,2118
375,1615,1948
376,2344,25
377,2125,2438
378,1383,1566
379,2451,1396
380,2132,1624
381,1201,4
382,4,1201
383,2507,1185
384,2347,2313
385,823,2070
386,2070,823
387,304,905
388,2523,25
389,2516,2543
390,241,249
391,1719,2158
392,2540,2548
393,2342,2370
394,2370,2342
395,2472,2067
396,1689,25
397,2,1363
398,2,167
399,2,39
400,2,223
401,2,245
402,2549,2567
403,2567,2566
404,2566,2568
405,2567,2568
406,2568,2567
407,2569,2568
408,304,2198
409,304,1899
410,1899,304
411,2592,2574
412,2603,2585
413,2603,2601
414,2616,35
415,241,1
416,2585,2622
417,2585,2623
418,2622,2623
419,2637,2635
420,1774,1752
421,132,1
422,2659,2658
423,2670,2669
424,2657,2670
425,2670,2657
426,2670,2671
427,2670,2672
428,2670,2633
429,2657,2672
430,2675,2633
431,2678,2671
432,2678,2672
433,2672,2067
434,2672,2631
435,2672,2629
436,2672,2632
437,2672,2628
438,2632,2628
439,2632,2629
440,2632,2631
441,2632,1543
442,2631,2634
443,2631,2574
444,2631,2666
445,2631,2570
446,2631,2571
447,2628,1810
448,2628,1543
449,2628,2574
450,2628,2571
451,2628,2548
452,2665,1948
453,2680,1543
454,2680,2682
455,2680,1810
456,2680,2176
457,2682,2176
458,2682,1543
459,2682,1810
460,2682,2680
461,2682,1201
462,2680,905
463,1543,2683
464,2680,2683
465,2682,2683
466,2680,2485
467,1543,2682
468,1543,2680
469,2683,1543
470,1543,2684
471,2680,2684
472,2684,905
473,2683,2685
474,2685,2683
475,1396,1316
476,1396,1386
477,2128,2118
478,905,57
479,2070,1948
480,2674,2672
481,2699,2674
482,2574,2700
483,2711,1
484,2720,2574
485,2720,2721
486,2720,2700
487,2726,35
488,2738,2676
489,2758,242
490,242,2758
491,2176,1
492,2686,2771
493,2771,2686
494,1948,2070
495,2788,2647
496,2786,35
497,2409,2028
498,2823,2782
499,2828,2647
500,2693,2427
501,2214,2028
502,2884,1675
503,2866,2688
504,2884,2028
505,905,1953
506,1629,1383
507,2812,2028
508,2940,25
509,2942,25
510,2918,1953
511,2859,2953
512,13,25
513,2688,2028
514,3003,2733
515,3010,1953
516,2028,2725
517,2647,2485
518,2788,2642
519,2725,2028
520,1555,2246
521,2992,3027
522,2725,2733
523,1396,1566
524,2485,2647
525,304,1953
526,1953,304
527,1217,23
528,6,1363
529,6,1
530,1386,1201
531,2647,2635
532,2388,25
533,3045,25
534,3092,2896
535,224,2125
536,1675,1810
537,2817,1217
538,2647,3125
539,3086,3129
540,2725,2835
541,2642,3598
542,1743,3157
543,1743,448
544,1743,143
545,448,1743
546,2905,3018
547,1743,2013
548,2013,1743
549,2725,1731
550,2763,3198
551,3203,1271
552,1840,1185
553,2635,2647
554,3218,3018
555,3084,2647
556,3125,2647
557,1363,2
558,1363,245
559,3190,25
560,3223,3246
561,3198,2763
562,2635,3260
563,3246,3223
564,3197,3239
565,3197,2642
566,2821,2028
567,3276,2642
568,2118,3281
569,3281,2118
570,3236,3119
571,3086,3260
572,2296,1403
573,2296,2388
574,2296,1363
575,2028,3293
576,2733,3293
577,3308,3219
578,2647,1953
579,2942,1810
580,363,1366
581,3287,3333
582,3345,1656
583,1318,1656
584,2825,2635
585,2825,3086
586,2825,3018
587,2825,2419
588,3264,3366
589,1217,3377
590,2028,1334
591,2118,3377
592,3395,2642
593,2484,3367
594,2028,2125
595,3363,3086
596,1953,2635
597,1953,3260
598,2966,1953
599,3377,1217
600,3377,2118
601,2028,3416
602,3198,1018
603,540,2028
604,2763,1018
605,3598,2642
606,2784,2118
607,2127,2763
608,3456,2437
609,1550,1217
610,2127,1352
611,3483,3484
612,3484,3483
613,3489,2838
614,3500,3208
615,1018,230
616,3525,3018
617,2028,1018
618,2642,1018
619,1815,135
620,3553,3552
621,3554,3552
