pageRank,target
5.202066816598557e-05,1
1.2097800931187627e-05,2
1.6837789609525904e-06,3
1.8938408272284728e-05,4
1.2940775815693465e-07,5
5.1077344918382264e-06,6
1.6420671729731316e-05,7
4.585917282300781e-07,8
1.2940775815693465e-07,9
1.442961495654883e-06,10
1.2940775815693465e-07,11
1.2940775815693465e-07,12
4.306612574887458e-06,13
1.2940775815693465e-07,14
1.2940775815693465e-07,15
1.1137775255817881e-06,16
5.1077344918382264e-06,17
1.2940775815693465e-07,18
1.2940775815693465e-07,19
1.9612184501759463e-07,20
1.559210835635995e-06,21
1.2940775815693465e-07,22
4.690843394582648e-06,23
1.2940775815693465e-07,24
1.5164570380344453e-05,25
1.2940775815693465e-07,26
1.2940775815693465e-07,27
1.2940775815693465e-07,28
1.6171046829973813e-07,29
1.2940775815693465e-07,30
1.2940775815693465e-07,31
1.2940775815693465e-07,32
1.0029120015647094e-05,33
1.2940775815693465e-07,34
7.990562878395974e-06,35
1.2940775815693465e-07,36
1.2940775815693465e-07,37
1.2940775815693465e-07,38
1.2512236419220899e-05,39
1.2940775815693465e-07,40
5.499559054697896e-06,41
1.2940775815693465e-07,42
1.2940775815693465e-07,43
1.2940775815693465e-07,44
2.628359318782282e-07,45
1.2940775815693465e-07,46
1.2940775815693465e-07,47
1.2940775815693465e-07,48
1.2940775815693465e-07,49
1.2940775815693465e-07,50
2.0382557831655165e-05,51
1.2940775815693465e-07,52
1.2940775815693465e-07,53
1.2940775815693465e-07,54
1.2940775815693465e-07,55
1.2940775815693465e-07,56
1.5377522004475647e-05,57
1.2940775815693465e-07,58
1.2940775815693465e-07,59
5.753811054502524e-06,60
1.2940775815693465e-07,61
1.6837789609525904e-06,62
1.2940775815693465e-07,63
7.605720586548636e-06,64
1.2940775815693465e-07,65
1.2940775815693465e-07,66
1.2940775815693465e-07,67
1.2940775815693465e-07,68
1.2940775815693465e-07,69
1.2940775815693465e-07,70
1.2940775815693465e-07,71
1.2940775815693465e-07,72
1.2940775815693465e-07,73
1.2940775815693465e-07,74
1.2940775815693465e-07,75
1.2940775815693465e-07,76
1.2940775815693465e-07,77
1.2940775815693465e-07,78
1.2940775815693465e-07,79
1.2940775815693465e-07,80
2.628359318782269e-07,81
1.2940775815693465e-07,82
1.2940775815693465e-07,83
1.2940775815693465e-07,84
1.2940775815693465e-07,85
1.2940775815693465e-07,86
1.2940775815693465e-07,87
1.2940775815693465e-07,88
1.2940775815693465e-07,89
1.2940775815693465e-07,90
1.2940775815693465e-07,91
1.2940775815693465e-07,92
4.585917282300781e-07,93
1.2940775815693465e-07,94
1.2940775815693465e-07,95
1.2940775815693465e-07,96
1.2940775815693465e-07,97
1.2940775815693465e-07,98
1.2940775815693465e-07,99
1.2940775815693465e-07,100
1.961218450175968e-07,101
1.2940775815693465e-07,102
1.2940775815693465e-07,103
2.6247748458740893e-06,104
1.2940775815693465e-07,105
1.2940775815693465e-07,106
1.2940775815693465e-07,107
1.2940775815693465e-07,108
